Date,Gap_Sales,Seasonal,DPI,T1,T2,Q2,Q3,Q4,ICS
1985/3/1,105715,0.86,3032.2,1,1,0,0,0,94.467
1985/6/1,120136,0.87,3117.5,2,4,1,0,0,94.3
1985/9/1,181669,1.03,3115.4,3,9,0,1,0,92.833
1985/12/1,239813,1.24,3172.2,4,16,0,0,1,91.067
1986/3/1,159980,0.86,3233.4,5,25,0,0,0,95.533
1986/6/1,164760,0.87,3269.1,6,36,1,0,0,96.767
1986/9/1,224800,1.03,3307.2,7,49,0,1,0,94.833
1986/12/1,298469,1.24,3330.7,8,64,0,0,1,92.033
1987/3/1,211060,0.86,3397.1,9,81,0,0,0,90.467
1987/6/1,217753,0.87,3389.4,10,100,1,0,0,91.8
1987/9/1,273616,1.03,3484.5,11,121,0,1,0,93.9
1987/12/1,359592,1.24,3562.1,12,144,0,0,1,86.4
1988/3/1,241348,0.86,3638.5,13,169,0,0,0,92.333
1988/6/1,264328,0.87,3711.3,14,196,1,0,0,93.567
1988/9/1,322752,1.03,3786.9,15,225,0,1,0,96.033
1988/12/1,423669,1.24,3858.2,16,256,0,0,1,93
1989/3/1,309925,0.86,3954.9,17,289,0,0,0,95.867
1989/6/1,325939,0.87,3993.4,18,324,1,0,0,90.933
1989/9/1,405601,1.03,4038.8,19,361,0,1,0,92.467
1989/12/1,545131,1.24,4099.5,20,400,0,0,1,91.767
1990/3/1,402368,0.86,4198.2,21,441,0,0,0,91.267
1990/6/1,404996,0.87,4268.1,22,484,1,0,0,90.933
1990/9/1,501690,1.03,4325.7,23,529,0,1,0,79.133
1990/12/1,624726,1.24,4351.3,24,576,0,0,1,65.133
1991/3/1,490300,0.86,4387.1,25,625,0,0,0,74.967
1991/6/1,523056,0.87,4441.8,26,676,1,0,0,80.733
1991/9/1,702052,1.03,4483.7,27,729,0,1,0,82.633
1991/12/1,803485,1.24,4544.5,28,784,0,0,1,71.867
1992/3/1,588864,0.86,4651.4,29,841,0,0,0,70.767
1992/6/1,614114,0.87,4716.1,30,900,1,0,0,78.933
1992/9/1,827222,1.03,4768.6,31,961,0,1,0,76.1
1992/12/1,930209,1.24,4869.6,32,1024,0,0,1,83.2
1993/3/1,643580,0.86,4801.6,33,1089,0,0,0,87.267
1993/6/1,693192,0.87,4901.1,34,1156,1,0,0,82.467
1993/9/1,898677,1.03,4924.3,35,1225,0,1,0,77.4
1993/12/1,1060230,1.24,5020.8,36,1296,0,0,1,84.033
1994/3/1,751670,0.86,4998.7,37,1369,0,0,0,93
1994/6/1,773131,0.87,5118.1,38,1444,1,0,0,92.2
1994/9/1,988346,1.03,5197.5,39,1521,0,1,0,90.733
1994/12/1,1209790,1.24,5293.1,40,1600,0,0,1,93.133
1995/3/1,848688,0.86,5350.9,41,1681,0,0,0,94.333
1995/6/1,868514,0.87,5376.3,42,1764,1,0,0,91.667
1995/9/1,1155930,1.03,5427.1,43,1849,0,1,0,93.167
1995/12/1,1522120,1.24,5478.6,44,1936,0,0,1,89.8
1996/3/1,1113150,0.86,5574.5,45,2025,0,0,0,90.5
