Time,iPhone
Q3/07,0.27
Q4/07,1.119
Q1/08,2.315
Q2/08,1.703
Q3/08,0.717
Q4/08,6.892
Q1/09,4.363
Q2/09,3.793
Q3/09,5.208
Q4/09,7.367
Q1/10,8.737
Q2/10,8.752
Q3/10,8.398
Q4/10,14.102
Q1/11,16.235
Q2/11,18.647
Q3/11,20.338
Q4/11,17.073
Q1/12,37.044
Q2/12,35.064
Q3/12,26.028
Q4/12,26.91
Q1/13,47.789
Q2/13,37.43
Q3/13,31.241
Q4/13,33.797
Q1/14,51.025
Q2/14,43.719
Q3/14,35.203
Q4/14,39.272
Q1/15,74.468
Q2/15,61.17
Q3/15,47.534
Q4/15,48.05
Q1/16,74.78
Q2/16,51.2
Q3/16,40.4
Q4/16,45.51
Q1/17,78.29
Q2/17,50.76
Q3/17,41.03
Q4/17,46.68
Q1/18,77.32
Q2/18,52.22
Q3/18,41.3
Q4/18,46.89
Q1/19,
